,id,title,popularity,release_date
351,149,Akira,39.734,1988-06-10
352,37797,Whisper of the Heart,36.996,1995-07-15
353,29264,The Exterminating Angel,19.618,1962-05-16
354,15383,Army of Shadows,14.831,1969-09-10
355,11712,Sanjuro,14.592,1962-01-01
356,10386,The Iron Giant,43.503,1999-08-06
357,770,Gone with the Wind,29.971,1939-03-12
358,679,Aliens,170.039,1986-07-18
359,6977,No Country for Old Men,56.873,2007-06-13
360,6977,No Country for Old Men,56.873,2007-06-13
361,76203,12 Years a Slave,35.17,2013-10-18
362,81,Nausicaä of the Valley of the Wind,32.853,1984-03-11
363,776503,CODA,39.345,2021-08-13
364,1059,The Hidden Fortress,21.991,1958-12-28
365,197,Braveheart,53.621,1995-05-24
366,20803,Ivan Vasilyevich Changes His Profession,8.388,1973-09-17
367,78,Blade Runner,53.659,1982-06-25
368,41050,La Notte,11.017,1961-01-24
369,11010,The Postman,16.734,1994-04-07
370,10238,Cries and Whispers,14.597,1972-12-21
371,1010581,My Fault,298.283,2023-06-08
372,3777,Throne of Blood,21.382,1957-01-15
373,1578,Raging Bull,24.159,1980-11-14
374,8290,Don't Look Now... We're Being Shot At!,22.288,1966-12-08
375,426618,Where Hands Touch,17.231,2018-09-14
376,296096,Me Before You,112.462,2016-06-01
377,152532,Dallas Buyers Club,18.676,2013-11-01
378,234,The Cabinet of Dr. Caligari,18.328,1920-02-27
379,85,Raiders of the Lost Ark,56.974,1981-06-12
380,920394,My Father's Violin,12.423,2022-01-21
381,654,On the Waterfront,20.658,1954-06-22
382,9323,Ghost in the Shell,41.121,1995-11-18
383,615453,Ne Zha,21.389,2019-07-26
384,122906,About Time,48.056,2013-09-04
385,28971,Limelight,19.718,1952-10-23
386,775,A Trip to the Moon,15.92,1902-04-17
387,142061,"Batman: The Dark Knight Returns, Part 2",22.907,2013-01-03
388,378108,In This Corner of the World,20.106,2016-11-12
389,10242,What Ever Happened to Baby Jane?,25.039,1962-10-31
390,1092,The Third Man,24.96,1949-08-31
391,949,Heat,50.895,1995-12-15
392,626332,Flamin' Hot,41.306,2023-03-11
393,489412,It's Such a Beautiful Day,9.546,2012-08-24
394,1646,Freedom Writers,26.621,2007-01-05
395,110,Three Colors: Red,22.41,1994-05-12
396,49964,Where Is The Friend's House?,14.189,1987-07-01
397,829,Chinatown,33.233,1974-06-20
398,491480,The Boy Who Harnessed the Wind,27.769,2019-02-14
399,150540,Inside Out,225.592,2015-06-17
400,21334,Children of Heaven,10.913,1997-08-01
401,360814,Dangal,27.948,2016-12-21
402,671,Harry Potter and the Philosopher's Stone,188.122,2001-11-16
403,33,Unforgiven,35.916,1992-08-07
404,482321,Ron's Gone Wrong,31.677,2021-10-14
405,194,Amélie,45.189,2001-04-25
406,505262,My Hero Academia: Two Heroes,44.989,2018-08-03
407,10674,Mulan,80.869,1998-06-18
408,405,La Strada,19.24,1954-09-23
409,726684,Miraculous World: Shanghai – The Legend of Ladydragon,26.467,2021-05-15
410,334533,Captain Fantastic,26.692,2016-07-08
411,118340,Guardians of the Galaxy,41.133,2014-07-30
412,13398,Tokyo Godfathers,23.0,2003-12-05
413,7984,In the Name of the Father,16.701,1993-12-12
414,597,Titanic,127.815,1997-11-18
415,501929,The Mitchells vs. the Machines,33.754,2021-04-22
416,48035,Ordet,13.422,1955-01-09
417,7857,Amarcord,12.618,1973-12-18
418,455714,Bad Genius,30.443,2017-05-03
419,961323,Nimona,35.222,2023-06-23
420,550205,Wish Dragon,30.657,2021-01-15
421,404378,A Street Cat Named Bob,28.602,2016-11-04
422,313369,La La Land,58.243,2016-11-29
423,1402,The Pursuit of Happyness,56.467,2006-12-14
424,827,Diabolique,12.985,1955-01-29
425,30017,Close-Up,14.087,1990-05-09
426,2011,Persepolis,16.349,2007-06-27
427,698948,Thirteen Lives,38.825,2022-07-18
428,610150,Dragon Ball Super: Super Hero,49.86,2022-06-11
429,60243,A Separation,12.492,2011-02-15
430,1892,Return of the Jedi,35.131,1983-05-25
431,752,V for Vendetta,35.39,2006-02-23
432,503314,Dragon Ball Super: Broly,9.945,2018-12-14
433,354857,Regular Show: The Movie,16.31,2015-09-01
434,20271,Divorce Italian Style,13.161,1961-12-20
435,458302,"Remi, Nobody's Boy",10.335,2018-12-12
436,223,Rebecca,22.517,1940-03-23
437,548544,Invisible Life,9.38,2019-08-30
438,210577,Gone Girl,71.269,2014-10-01
439,714888,"Argentina, 1985",15.772,2022-09-29
440,20722,La Maison en Petits Cubes,11.461,2008-06-10
441,316029,The Greatest Showman,52.355,2017-12-20
442,183011,Justice League: The Flashpoint Paradox,28.36,2013-07-30
443,11036,The Notebook,78.714,2004-06-25
444,17295,The Battle of Algiers,20.34,1966-09-08
445,522402,Finch,56.519,2021-11-04
446,944401,Dogman,53.628,2023-09-27
447,52629,El Infierno,42.108,2010-09-03
448,3112,The Night of the Hunter,22.445,1955-08-26
449,3083,Mr. Smith Goes to Washington,14.949,1939-10-19
450,14836,Coraline,243.699,2009-02-05
451,665,Ben-Hur,46.666,1959-11-18
452,667520,A Whisker Away,38.977,2020-06-18
453,522212,Just Mercy,18.665,2019-12-25
454,10728,Faust,11.096,1926-10-13
455,331482,Little Women,73.598,2019-12-25
456,3034,Young Frankenstein,23.582,1974-12-15
457,32085,Vincent,9.307,1982-10-01
458,804,Roman Holiday,23.143,1953-08-26
459,393,Kill Bill: Vol. 2,56.389,2004-04-16
460,25538,Yi Yi,19.146,2000-09-20
461,16,Dancer in the Dark,19.15,2000-09-01
462,265195,Wild Tales,24.187,2014-08-21
463,369557,Sing Street,15.265,2016-03-11
464,47796,Mamma Roma,10.334,1962-09-22
465,31411,The Cameraman,16.601,1928-09-10
466,438695,Sing 2,78.198,2021-12-01
467,662,La Jetée,18.07,1962-02-16
468,180147,We Are the Nobles,12.832,2013-03-28
469,11293,Paper Moon,19.206,1973-05-09
470,381341,Perfect Strangers,27.597,2016-02-11
471,23160,Werckmeister Harmonies,13.72,2001-02-01
472,29455,Winter Light,14.889,1963-02-11
473,1607,A Bronx Tale,67.72,1993-10-01
474,31442,Ivan's Childhood,18.295,1962-05-09
475,275,Fargo,28.746,1996-03-08
476,652722,In the Arms of an Assassin,23.539,2019-12-06
477,552532,Charm City Kings,21.772,2020-01-27
478,833,Umberto D.,12.139,1952-01-20
479,785084,The Whale,33.394,2022-12-09
480,613,Downfall,18.928,2004-09-16
481,453,A Beautiful Mind,38.998,2001-12-14
482,785084,The Whale,33.394,2022-12-09
483,573164,An Egg Rescue,19.179,2021-08-12
484,594634,Close to the Horizon,17.325,2019-10-10
485,505192,Shoplifters,18.615,2018-06-02
486,152601,Her,55.974,2013-12-18
487,235,Stand by Me,37.591,1986-08-08
488,266856,The Theory of Everything,24.227,2014-11-26
489,582927,I'm No Longer Here,12.637,2019-10-21
490,89,Indiana Jones and the Last Crusade,81.188,1989-05-24
491,527774,Raya and the Last Dragon,66.573,2021-03-03
492,430424,See You Up There,17.517,2017-10-25
493,399174,Isle of Dogs,49.376,2018-03-23
494,59440,Warrior,32.785,2011-09-09
495,24238,Mary and Max,50.957,2009-04-09
496,16804,Departures,20.098,2008-09-13
497,546554,Knives Out,49.01,2019-11-27
498,435129,The Breadwinner,17.654,2017-11-17
499,25364,Ace in the Hole,10.726,1951-06-29
500,596,The Grapes of Wrath,13.954,1940-03-15
501,581,Dances with Wolves,43.665,1990-03-30
502,698508,Redeeming Love,44.178,2022-01-21
503,618588,Arthur the King,79.842,2024-03-15
504,379170,Sherlock: The Abominable Bride,27.42,2016-01-01
